sentence	label
elvira fans could hardly ask .	1
good one	1
, plodding picture	0
character dramas , never reach satisfying conclusions	0
lost translation time	0
speak forces ponder anew movie	1
enables shafer navigate spaces large ... small ... considerable aplomb	1
plot cobbled together largely flat uncreative moments	0
inane awful	0
told scattered fashion	0
takes chances bold studio standards	1
believe , jason actually takes backseat film special effects	0
thing fear `` fear dot com ``	0
whole mess	0
manages infuse rocky path sibling reconciliation flashes warmth gentle humor	1
working surprisingly sensitive script co-written gianni romoli ... ozpetek avoids pitfalls 'd expect potentially sudsy set-up .	1
résumé loaded credits like `` girl bar # 3	0
enjoy ride	1
little add beyond dark visions already relayed superb recent predecessors	0
, yes , snail-like pacing	0
extremely unpleasant film .	0
n't entirely persuasive , give exposure talented performers	1
whole affair , true story , feels incredibly hokey ...	0
things 've seen	0
poignant leavened	1
breathless anticipation	1
significantly better	1
predictable tides	0
bewilderingly brilliant entertaining	1
's smooth professional	1
, unassuming , subordinate	0
horror	0
technically superb film	1
positive change tone seems recharged .	1
pays earnest homage turntablists beat jugglers , old schoolers current innovators	1
dim	0
, vicious absurd	0
acts goofy time	0
kinetic life teeming even cranky adults may rediscover quivering kid inside	1
's laughable compulsively watchable ,	1
merit 103-minute length	1
value respect term epic cinema	1
dentist 's waiting room	0
showing honest emotions	1
amazingly lame .	0
confessions may straightforward bio	0
seems disappointingly thin slice lower-class london life ; despite title ... amounts surprisingly little	0
story bogus	0
comic gem delightful derivative .	1
spare wildlife	1
ugly shabby digital photography	0
understand difference dumb fun plain dumb	0
traditionally structured	1
frida n't much different many hollywood romance .	0
point way adventurous indian filmmakers toward crossover nonethnic markets .	1
worth price admission ... `` gory mayhem `` idea good time	1
produced jerry bruckheimer directed joel schumacher , reflects worst shallow styles : wildly overproduced , inadequately motivated every step way demographically targeted please every one ( one )	0
carnage	0
degraded , handheld blair witch video-cam footage	0
second fiddle	0
folly superficiality	0
serves auto-critique , clumsiness damning censure .	0
tedious norwegian offering somehow snagged oscar nomination .	0
, esther kahn unusual unfortunately also irritating .	0
stylish exercise	1
halfway picture beginning hate	0
setup easy borders facile	0
thoroughly awful movie	0
takes hold grips hard	1
look smeary blurry , point distraction	0
picture 's fascinating byways	1
guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects jagged camera moves	0
breezy , distracted rhythms	0
mess	0
evanescent , seamless sumptuous stream	1
slick manufactured claim street credibility .	1
take care nicely performed quintet actresses ,	1
valuable messages	1
small part thanks lau	1
two guys desperately want quentin tarantino grow	0
new plot conceptions	0
essentially collection bits --	0
n't bode well rest	0
elevated -- kind movie	1
usual worst	0
hugh grant , good line charm	1
arrive early stay late	1
pan-american movie , moments genuine insight urban heart .	1
could used two hours better watching john malkovich .	0
shot artful , watery tones blue , green brown	1
unorthodox little film noir organized crime story includes one strangest	1
considerable aplomb	1
acted diane lane richard gere .	1
scant	0
admittedly middling film	1
ludicrous	0
rock 's fighting skills line steven seagal	1
rich full	1
warm water red bridge celebration feminine energy , tribute power women heal .	1
uses sensational , real-life 19th-century crime metaphor	1
, home movie leave wanting , mention leaving laughs smile face .	1
, film retains ambiguities make well worth watching .	1
ultra-cheesy dialogue	0
added depth resonance	1
sensational	1
huge-screen format make old-fashioned nature film educates viewers words pictures entertaining	1
handsome unfulfilling suspense drama	0
's good either .	0
charmless	0
makes unusual pleasantly haunting debut behind camera .	1
fine , rousing , g-rated family film , aimed mainly little kids plenty entertainment value keep grown-ups squirming seats .	1
everything girls ca n't swim , even passages sensitive observation , feels secondhand , familiar -- good way .	0
cast spot	1
ugly digital video	0
love players brings fore gifted no-nonsense human beings still-inestimable contribution made shared history	1
rather choppy	0
becomes one dumb high school comedy sex gags prom dates	0
demands receives excellent performances	1
xxx blast adrenalin ,	1
pure escapism	1
create film 's merely kicking undead ***	1
love culture	1
worse :	0
horrifying	0
mourns tragedies private	0
action scenes poorly delivered	0
's bad	0
bad	0
, 84 minutes short	1
dabbles around , never gaining much momentum	0
masterpiece	1
lot casting juliette binoche sand , brings role pale , dark beauty characteristic warmth	1
n't leave much .	0
good acting	1
like jaglom 's films , honestly affecting	1
marivaux 's rhythms , mira sorvino 's limitations classical actress	0
less successful levels	0
's still quite worth seeing	1
intelligent moving .	1
appears miserable throughout swaggers scenes	0
men	1
accomplish sequels	1
clunky tv-movie approach detailing chapter life celebrated irish playwright , poet drinker	0
'm sure half dragonfly worse : part nothing 's happening , part something 's happening	0
exhilarating , funny fun .	1
bound appeal women looking howlingly trashy time	1
, never quite makes grade tawdry trash .	0
right stuff silly summer entertainment enough laughs sustain interest end .	1
endearing , caring	1
seagal , looks like danny aiello days	1
enactments , however fascinating may history , crude serve work especially well .	0
everything ambitious comic escapade works , coppola , along sister , sofia , real filmmaker	1
dehumanizing ego-destroying process	0
taboo subject matter	0
see	1
utterly incompetent conclusion	0
always part part wilde 's droll whimsy helps `` earnest `` overcome weaknesses parker 's creative interference ...	1
find rooting gai 's character avoid fate befallen every carmen	1
run cover	0
low budget	0
deceptively casual ode	1
walked muttering words like `` horrible `` `` terrible , ``	0
help chicago make transition stage screen considerable appeal intact	1
ellen pompeo sitting next ride	1
giant step backward	0
true fans	1
copies	0
quite rich exciting	1
luminous interviews amazingly evocative film three decades ago	1
lynch , jeunet , von trier failing find spark	0
, ca n't help get caught thrill company 's astonishing growth .	1
frozen tundra soap opera	0
showdown	1
simply overdone	0
greatly	1
free	1
intriguing species	1
try evade	0
scherfig , successful career tv	1
watching leaves giddy	1
beautifully acted directed , 's clear washington certainly new career ahead chooses .	1
far tamer	0
outrageously creative action	1
purely enjoyable satisfying evenings	1
never question things turn	0
open new wounds	0
despite suffering sense-of-humour failure	0
story	1
addition hoffman 's powerful acting clinic	1
right stuff	1
wonderful cinematography naturalistic acting	1
high-concept films	1
sleepwalk vulgarities sequel refuse	0
reason	0
film confusing one level another , making ararat far demanding needs .	0
invigorating , surreal , resonant	1
chateau , sense light-heartedness , makes attractive throughout	1
passion material	1
maybe formula filmmaking , 's nothing wrong film well-crafted one .	1
movie ca n't get sufficient distance leroy 's	0
romanticized rendering	1
terrific rachel	1
special effects run gamut cheesy cheesier cheesiest	0
worst film man made women since valley dolls	0
come , already recycled times 'd care count	0
awe	1
joyous romp film .	1
nonstop hoot	1
, partisans sabotage	0
gory scenes torture self-mutilation	0
recent argentine film son bride reminded us feel-good movie still show real heart	1
ub equally spoofs celebrates outre aspects ` black culture ' dorkier aspects ` white culture , ' even points inseparable two .	1
package fascinating -- timely -- content comes wrapped disappointingly generic .	0
obscenely bad dark comedy , crass	0
naomi watts terrific rachel ; petite frame vulnerable persona emphasising plight isolation	1
exciting	1
schticky	0
best way	1
flamboyant female comics	1
squareness would make darling many kids-and-family-oriented cable channel	1
( less movie ) appalling , odoriferous thing ...	0
film special	1
amazing spider-man	1
stomach-turning violence	0
could use little humanity	0
everything	0
acquires undeniable entertainment value slight , pale mr. broomfield continues force people situations would make lesser men run cover .	1
slow-moving police-procedural thriller	0
bad idea frame one	0
terrific , sweaty-palmed fun	1
funny joke	1
volletta wallace 's maternal fury	0
complex story	1
atop wooden dialogue	0
progresses low-key manner risks monotony	0
burns 's strongest film since brothers mcmullen	1
ca n't miss	1
dover kosashvili 's outstanding feature debut potent	1
best short story writing	1
seeks excitement manufactured high drama	0
feeble comedy .	0
insult every family	0
essentially empty	0
film 's problems	0
makes big fat greek wedding look like apartheid drama	0
even half interest .	0
never achieve popularity big fat greek wedding	0
`` auto focus `` works unusual biopic document male swingers playboy era	1
right , 're merely signposts marking slow , lingering death imagination .	0
appealing character quirks forgive still serious problem	1
often lingers long irrelevant engaging , gradually turns time ?	0
energy takes describe bad	0
wait see .	0
could easily called best korean film 2002	1
largest-ever historical canvas	1
solid cast , assured direction complete lack modern day irony .	1
comatose ballerinas	0
oh-so-important	1
road , thematic ironies obvious sexual politics smug	0
formulaic equations	0
's work , humor , warmth , intelligence , captures life interestingly lived	1
deserve passing grade	1
're gon na like movie .	1
simply stupid , irrelevant	0
weaves elements plot powerfully evocative mood combining heated sexuality haunting sense malaise .	1
heavy-handed indictment parental failings	0
felt performances across board .	1
seem weird distanced	0
finally made movie n't offensive	1
casual fun	1
plodding mess	0
weird thing santa clause 2 , purportedly children 's movie , nothing engage children emotionally .	0
film 's intimate camera work	1
'll find wishing another movie .	0
dishonesty	0
bestial	0
loose collection not-so-funny gags , scattered moments lazy humor	0
, prove distressing suspenseful .	0
crackles	1
fairly revealing study two main characters	1
high drama , disney-style	1
may genial ingenious , gets job done .	1
, good action , good acting , good dialogue , good pace , good cinematography .	1
bully husband	0
gaghan ... thrown every suspenseful cliché book nonsensical story .	0
darker elements misogyny unprovoked violence suffocate illumination created two daughters	0
oozing , chilling heart-warming	1
stale retread	0
filming teeming life reefs	1
already thin story boils surviving invaders seeking existent anti-virus .	0
quite endearing .	1
fewer gags break tedium	0
overbearing	0
deep deceptions	0
things turn okay	1
paranoid claustrophobia submarine movie unsettling spookiness supernatural	1
grand	1
good-natured fun found films like tremors	1
betters	1
transfixes audience	1
moving important	1
dope	1
avid interest	1
blessed two fine , nuanced lead performances	1
true star	1
hampered -- , paralyzed -- self-indulgent script ...	0
expressly idiots n't care kind sewage shovel mental gullets simulate sustenance .	0
haunting ... ( 's ) punk rock music used , video medium could use : spirit , perception , conviction	1
nurses plot holes gaping enough pilot entire olympic swim team	0
's charming well acted	1
bad blend	0
guy-in-a-dress genre	1
director claude chabrol become master innuendo .	1
riveting	1
excruciatingly unfunny pitifully unromantic .	0
war movies	0
inuit masterpiece	1
oscar	1
cliché-laden screenplay	0
girlfriends bad , wives worse	0
provide much insight	1
, easy bored abc 's ,	0
wish	1
fluid mesmerizing	1
... vivid , thoughtful , unapologetically raw coming-of-age tale full sex , drugs rock ' n ' roll .	1
's testament film 's considerable charm succeeds entertaining , despite playing like feature-length sitcom replete stereotypical familial quandaries .	1
ransacks	0
lacks charisma ability carry film admittedly broad shoulders .	0
book report	0
leave theater	0
spousal abuse	0
director , fake backdrops stately pacing ,	0
diverse astonishingly articulate cast palestinian israeli children .	1
anyone suffers film	0
one carried strong sense humanism	1
brilliant touches , dragon loses fire midway , nearly flickering perfunctory conclusion .	0
another entertaining romp robert rodriguez .	1
directed purpose finesse england 's roger mitchell , handily makes move pleasing , relatively lightweight commercial fare notting hill commercial fare real thematic heft .	1
'll probably video stores christmas	0
funny , triumphant ,	1
underachiever	0
film ideas wry comic mayhem	1
moviegoers real characters compelling plots	1
dime-store ruminations	0
worth	1
, reality shows -- reality shows god 's sake !	0
whatever movie 's sentimental , hypocritical lessons sexism , true colors come various wet t-shirt shower scenes .	0
'll cry money back	0
enthralling	1
worse : part nothing 's happening , part something 's happening	0
like max rothman 's future , work .	0
quirky characters engaging story	1
thrown-together feel summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted	0
making kahlo 's art living ,	1
bad run	0
may end trying drown lake afterwards .	0
many pleasures	1
worth searching	1
time , cast , movie hopeless	0
time bombs	0
balances traditional modern stories together manner one never overwhelms .	1
surface histrionics failing compensate paper-thin characterizations facile situations	0
plumbs uncharted depths stupidity , incoherence sub-sophomoric sexual banter .	0
sour taste one 's mouth	0
decent performance	1
... familiar predictable , 4/5ths might well come xerox machine rather ( writer-director ) franc .	0
headline-fresh thriller set among orthodox jews west bank , joseph cedar 's time favor manages find compelling dramatic means addressing complex situation , without compromising complexity .	1
responsible one worst movies one year	0
appalling , shamelessly manipulative contrived	0
movie love	1
human darkness	0
understand idea exploiting molestation laughs funny , actually exploiting	0
's loud shout insults screen	0
's long way orwell 's dark , intelligent warning cry ( 1984 )	0
coming-of-age film avoids cartoonish clichés sneering humor genre provides fresh view old type --	1
perfect movie	1
ardently waste viewers ' time gobbler like	0
oscar-sweeping franchise predecessor	1
sets pretensions delivers big time	1
see many times work words `` radical `` `` suck `` sentence	0
give enough feel good	1
unexpectedly insightful	1
allen 's romantic comedies pertinent enduring	1
extraordinary film , least	1
doubt	0
maudlin	0
wisdom humor subjects	1
party-hearty teen flick scalds like acid .	0
wan , thinly sketched story	0
provide funniest moments oddly sweet comedy jokester highway patrolmen	1
romantic/comedy asks question much souvlaki take indigestion sets .	0
dazzle delight us	1
beneath familiar , funny surface far bigger , far meaningful story one little green men come earth harvesting purposes	1
aspires another `` best man `` clone weaving theme throughout funny film	1
impresses skillfully assembled , highly polished professional adaptation ... chilling unsettling ` manhunter ' .	1
failure construct story even trace dramatic interest	0
also comes laziness arrogance thing already knows 's .	0
's frightful vanity film , doubt , pays debt miramax felt owed benigni .	0
laughed	1
, future lizard endeavors need adhere closely laws laughter	0
philosophical void	0
unlikable characters self-conscious sense	0
intelligence invention	1
hot hardwood proves man drag funny .	0
hopelessly juvenile	0
shakespearean -- depth breadth --	1
unique directing style	1
required give comic slugfest heart	0
feel like non-stop cry attention	0
hip hop beat	1
feel like literary conceits flesh-and-blood humans	0
explanation	0
funniest	1
chilly , remote , emotionally distant piece ... dull tagline	0
starts witty sophisticated	1
bargain-basement european pickup	0
, really sets film apart debrauwer 's refusal push easy emotional buttons	1
shines characters , direction intelligently accomplished	1
taps primal fears young people trying cope mysterious brutal nature adults	1
lead group talented friends astray	1
's weirdness sake weirdness , human nature ingratiating , 's grating .	0
gentle , mesmerizing portrait	1
genial conceit , one rare pictures root throughout ,	1
draws audience unexplainable pain eccentricities attached concept loss	1
spliced together bits pieces midnight run 48 hours ( , matter , shrek )	0
busy making reference films trying films fails heart , mind humor	0
lacks compassion , good-natured humor level insight made ( eyre 's ) first film something sleeper success .	0
handles unexpected way	1
eternally devoted insanity black intermittently good time .	1
obscenely bad	0
devastatingly	0
n't see point	0
comes like bad imitation bard	0
excites imagination tickles funny bone	1
one strengths	1
masterpiece	1
dream hispanic role teeth-clenching gusto	1
stiff plain bad	0
makes lives count	1
jolts laughs audience --	1
delightful stimulus	1
point	0
isolation frustration	0
winning shot	1
music comic antics , perverse pleasure watching disney scrape bottom cracker barrel	0
feeling guilty ... , miracle miracles , movie flip-flop .	1
lewis	1
's reason anyone bother remembering	0
bogdanovich puts history perspective , via kirsten dunst 's remarkable performance , showcases davies young woman great charm , generosity diplomacy .	1
father cliché	0
domestic tension unhappiness	0
effort sincere results honest , film bleak 's hardly watchable	0
called best korean film 2002	1
one best rock	1
forces watch people unpleasant things	1
holiday box office pie	1
inexpressible drab wannabe	0
hail bullets , none ever seem hit	0
like extended , open-ended poem traditionally structured story	1
's convincing arnie musclefest , little much resonance real world events	0
hate	0
mesmerised	1
people loved 1989 paradiso prefer new version	1
lot energy	1
success patient viewer	1
tattoo borrows heavily seven silence lambs , manages maintain level sophisticated intrigue human-scale characters suck audience .	1
may burns 's strongest film since brothers mcmullen .	1
turned	0
timely , tongue-in-cheek	1
undramatic	0
pile useless actioners	0
morton deserves oscar nomination .	1
weirdly engaging unpredictable character pieces	1
efficiency affection period	1
manages accomplish sequels -- equals original ways even betters	1
work .	0
n't merely offensive	0
tell story vietnam war pathology set	1
irrigates souls .	1
hint humor	1
big heart	1
rollicking adventure mateys , regardless ages	1
immediate obvious pleasure	1
laughs aplenty , , bonus , viewers n't worry subjected farts , urine , feces , semen , foul substances overrun modern-day comedies	1
one rare films seems though written one , somehow manages convince almost everyone put screen , .	1
made decent ` intro ' documentary	1
makes us see familiar issues , like racism homophobia , fresh way .	1
film goes right edge kills every sense believability	0
beyond-lame satire , teddy bears ' picnic ranks among pitiful directing debuts esteemed writer-actor .	0
emotional seesawing	0
movies courage go top movies n't care stupid	1
target audience n't graduated junior high school	0
intricately structured well-realized drama	1
embracing	1
film celluloid litmus test intellectual emotional pedigree date giant step backward director admire	0
meditation faith madness , frailty blood-curdling stuff .	1
pretty listless collection	0
oscar-sweeping franchise predecessor	1
almost everyone growing believes family must look like `` addams family `` everyone looking	1
called freddy gets molested dog	0
moody male hustler	0
uselessly redundant shamelessly money-grubbing third-rate horror sequels	0
film filled humorous observations general absurdity modern life seen eyes outsiders , deftly manages avoid many condescending stereotypes often plague films dealing mentally ill	1
mostly bore	0
entertaining mix period drama flat-out farce please history fans	1
suspect 'll bored watching morvern callar characters .	0
problems characters reveals universal involving , film -- well delightful cast -- breezy , pretty gifted , really heart .	1
love movie	1
... efforts star , kline , lend dignity dumb story naught .	0
flat scruffy sands titular community	0
liberal doses dark humor , gorgeous exterior photography , stable-full solid performances	1
badly edited , often awkwardly directed suffers addition wholly unnecessary pre-credit sequence designed give characters ` back story	0
works smoothly	1
creepy dead-on performance	1
might want take reality check pay full ticket price see `` simone , `` consider dvd rental instead .	0
placed pantheon best swashbucklers	1
satisfyingly unsettling ride	1
good job anyone	1
, smart complicated	1
intimate , unguarded moments folks live unusual homes --	0
pretty valuable days	1
( ) 's certainly laudable movie deals hot-button issues comedic context , barbershop n't funny .	0
rip aware	0
beautiful watch	1
accentuating	1
quarter anyone seeking pull cohesive story 2 1/2 - hour running time	0
wonderful ensemble cast	1
endear	1
truly funny bits	1
's painful .	0
american beauty reeks	0
clotted heavy-handed symbolism , dime-store psychology endless scenic shots make 105 minutes seem twice long	0
without sense fun energy	0
cat 's meow	1
's simply stupid , irrelevant deeply	0
wonderland adventure , stalker thriller ,	1
part	1
cinema history movie ever	1
comes renowned indian film culture allows americans finally revel splendor	1
accomplished oscar winners	1
underrated professionals deserve rarely receive	1
find surprised much care story	1
all-time low	0
enjoyed	1
reacting - feeling part grand locations ,	1
delivered conviction 's hard carried away	1
colorful , vibrant introduction	1
slow parade human frailty fascinates	1
famuyiwa 's feature deals subject matter tasteful , intelligent manner , rather forcing us endure every plot contrivance cliché-riddled genre offer .	1
laugh	1
gradually sneaks audience	1
photographic marvel	1
shockingly bad absolutely unnecessary .	0
gets vivid performances cast pulls deft ally mcbeal-style fantasy sequences .	1
result , however well-intentioned , ironically sort disposable , kitchen-sink homage illustrates whole often less sum parts today 's hollywood .	0
every taste , often funny collegiate gross-out comedy goes long way toward restoring luster national lampoon film franchise , long reduced direct-to-video irrelevancy .	1
wow ' factor	1
hashiguchi covers territory wit originality , suggesting fourth feature -- first released u.s. -- major director emerging world cinema .	1
brazil-like , hyper-real satire	1
low suspense payoff	0
find scathing portrayal powerful entity strangling life people want believe	1
absolute delight audiences	1
would tax einstein 's brain .	0
's first sign trouble	0
ca n't believe anyone would really buy stuff	0
moonlight mile strike nerve many .	1
ever dependable concept botched execution	0
wedding feels bit anachronistic .	0
lost translation time	0
revelatory performance	1
pianist like surgeon mends broken heart ; meticulously without passion	0
remains oddly detached	0
complex honest anything represented hollywood film	1
nifty premise	1
vein	1
wonderfully lush morvern callar pure punk existentialism ,	1
go ship leaky	0
earnest movie	1
effective enough	1
showing us well-thought stunts car chase n't seen 10,000 times	1
make film silly scary , like sort martha stewart decorating program run amok	0
going rapid pace ,	1
still fun enjoyable	1
lazy exercise bad filmmaking	0
thing virtually unwatchable .	0
's also undeniably exceedingly clever	1
would ever work mcculloch production looked movie turned	0
entertainment destination general public	1
ever seen , constantly pulling rug underneath us , seeing things new sides , plunging deeper , getting intense .	1
england 's roger mitchell , handily makes move pleasing	1
enduring strengths women	1
surprisingly faithful	1
numerous scenes	1
exaggerated	0
takes really long , slow dreary time	0
improved upon first	1
might made exhilarating	1
k-19 : widowmaker great yarn .	1
humorless	0
thank	1
walk remember	1
bite	0
amounts little punishment .	0
humor recognizably plympton	1
likeable thanks cast , cuisine quirky tunes .	1
makes piecing story together frustrating difficult	0
fascinating , compelling story	1
film 's hero bore innocence soon becomes questionable kind inexcusable dumb innocence	0
fascinating , dark thriller keeps hooked delicious pulpiness lurid fiction .	1
whimsical relevant today	1
see	1
tackles difficult subject grief loss	1
grotesque narcissism	0
funny sad	1
, arguably , accomplished work date hong kong 's versatile stanley kwan .	1
wore	0
stupid	0
refreshing	1
get feardotcom like something bad clive barker movie .	0
created brilliant motion picture .	1
clumsy cliché ugly american	0
beautiful food entrée	1
us slice life 's different yet instantly recognizable	1
passive-aggressive psychology co-dependence	0
story ends ca n't tear away characters	1
live style	0
scenes cinematic perfection	1
love liza 's tale	1
type film growing n't see often enough days : realistic , urgent	1
first , movie tries smart , 's kinda dumb .	0
go see delightful comedy .	1
worst sense	0
propelled acting	1
presents us action movie actually brain .	1
human nature goofball movie , way malkovich , tries hard	0
overplayed	0
poignant	0
'' feels capable charming masses star power , pop-induced score sentimental moments become spielberg trademark .	1
visceral dangerously honest revelations men machines behind curtains planet	1
kirshner monroe seem contest see out-bad-act .	0
mug shots	0
barbarism ` ethnic cleansing	0
another masterpiece	1
incredibly layered stylistic film	1
classic story	1
daring	1
wo n't feel cheated high infidelity unfaithful .	1
haute	0
convey strong sense girls ' environment .	1
ugly	0
journey spanning nearly three decades bittersweet camaraderie history , feel truly know makes holly marina tick	1
insight	1
well-intentioned effort 's still burdened actor 's offbeat sensibilities earnest emotional core emerge degree accessibility .	0
passionate , tumultuous affair	1
kind under-inspired , overblown enterprise gives hollywood sequels bad name	0
enjoyable experience .	1
've interesting -- , dare say , thematically complex -- bowel movements long-on-the-shelf , point-and-shoot exercise gimmicky crime drama .	0
greater attention parents -- particularly fateful fathers -- emotional evolution two bewitched adolescents .	1
well cram earplugs	0
simply tired	0
's little nuances perhaps escape director mark romanek 's self-conscious scrutiny happen , finally get skin	0
convincing radiant	1
smart dark -	1
emaciated flick	0
