sentence	label
maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . 	1
romanticized rendering 	1
is terrific as rachel 	1
with awe 	1
joyous romp of a film . 	1
a nonstop hoot 	1
just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart 	1
ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . 	1
naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation 	1
exciting and 	1
and in the best way 	1
of our most flamboyant female comics 	1
squareness that would make it the darling of many a kids-and-family-oriented cable channel 	1
this film special 	1
of the amazing spider-man 	1
acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover . 	1
terrific , sweaty-palmed fun 	1
very funny joke 	1
complex story 	1
be burns 's strongest film since the brothers mcmullen 	1
ca n't miss it 	1
dover kosashvili 's outstanding feature debut so potent 	1
of the best short story writing 	1
`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era 	1
appealing character quirks to forgive that still serious problem 	1
could easily be called the best korean film of 2002 	1
largest-ever historical canvas 	1
a solid cast , assured direction and complete lack of modern day irony . 	1
oh-so-important 	1
's a work that , with humor , warmth , and intelligence , captures a life interestingly lived 	1
deserve a passing grade 	1
you 're gon na like this movie . 	1
weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . 	1
felt performances across the board . 	1
has finally made a movie that is n't just offensive 	1
casual and fun 	1
the film 's intimate camera work 	1
crackles 	1
a fairly revealing study of its two main characters 	1
high drama , disney-style 	1
may be more genial than ingenious , but it gets the job done . 	1
, good action , good acting , good dialogue , good pace , good cinematography . 	1
oozing , chilling and heart-warming 	1
filming the teeming life on the reefs 	1
quite endearing . 	1
things will turn out okay 	1
the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural 	1
grand 	1
good-natured fun found in films like tremors 	1
betters it 	1
transfixes the audience 	1
moving and important 	1
dope 	1
an avid interest 	1
blessed with two fine , nuanced lead performances 	1
true star 	1
is haunting ... ( it 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction 	1
that 's both charming and well acted 	1
the guy-in-a-dress genre 	1
director claude chabrol has become the master of innuendo . 	1
riveting and 	1
an inuit masterpiece 	1
oscar 	1
provide much more insight 	1
what you wish for 	1
fluid and mesmerizing 	1
... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll . 	1
it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . 	1
a diverse and astonishingly articulate cast of palestinian and israeli children . 	1
one carried by a strong sense of humanism 	1
another entertaining romp from robert rodriguez . 	1
directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . 	1
funny , triumphant , 	1
a film of ideas and wry comic mayhem 	1
of moviegoers for real characters and compelling plots 	1
worth a 	1
